region,mountain
ny-nj-and-pa,Tuxedo Ridge CLOSED 
ny-nj-and-pa,Whitetail Resort
ny-nj-and-pa,Holiday Valley
ny-nj-and-pa,Thunder Ridge
ny-nj-and-pa,Camelback
ny-nj-and-pa,Dry Hill
ny-nj-and-pa,Buffalo Ski Club
ny-nj-and-pa,Crystal Lake XC
ny-nj-and-pa,Alpine Mountain
ny-nj-and-pa,Black River XC
ny-nj-and-pa,Osceola Tug Hill XC
ny-nj-and-pa,Pineridge XC
ny-nj-and-pa,Tree Haven Trails XC
ny-nj-and-pa,Holiday Mountain
ny-nj-and-pa,Starlight Lake XC
ny-nj-and-pa,Sawkill Family Ski Center
ny-nj-and-pa,Boyce Park
ny-nj-and-pa,Eagle Rock
ny-nj-and-pa,Big Tupper
ny-nj-and-pa,Cascade XC NY
ny-nj-and-pa,Olympic Sports Complex XC
ny-nj-and-pa,Garnet Hill Lodge XC
ny-nj-and-pa,High Point XC
ny-nj-and-pa,Ski Denton
ny-nj-and-pa,Tussey Mountain
ny-nj-and-pa,Hidden Valley
ny-nj-and-pa,Mount Pleasant
ny-nj-and-pa,Fahnestock Winter Park XC
ny-nj-and-pa,Elk Mountain
ny-nj-and-pa,Ski Sawmill
ny-nj-and-pa,Mystic Mountain at Nemacolin Woodlands
ny-nj-and-pa,Ski Big Bear
ny-nj-and-pa,Spring Mountain
ny-nj-and-pa,Cunninghams Ski Barn XC
ny-nj-and-pa,Mohonk Mt House XC
ny-nj-and-pa,Cockaigne
ny-nj-and-pa,Peek n Peak
ny-nj-and-pa,Friends Lake Inn and Nordic Ski Center
ny-nj-and-pa,Oak Hill Farms XC
ny-nj-and-pa,Mountain Trails XC
ny-nj-and-pa,Shawnee Mountain Ski Area PA 
ny-nj-and-pa,Gore Mountain
ny-nj-and-pa,Mountain Creek
california-central-and-southern,Mammoth Mountain
california-central-and-southern,Bear Mountain
california-central-and-southern,Snow Valley
california-central-and-southern,Mt Baldy
california-central-and-southern,June Mountain
california-central-and-southern,China Peak
california-central-and-southern,Snow Summit
california-central-and-southern,Mountain High
california-central-and-southern,Mulligan Family Fun Center Torrance
california-central-and-southern,Yosemite Ski Snowboard Area Formerly Badger Pass 
california-central-and-southern,Montecito Lake Resort
california-central-and-southern,Alta Sierra Ski Resort
california-central-and-southern,Tamarack Lodge Resort
california-central-and-southern,Yosemite XC
northern-rockies,Snowy Range
northern-rockies,Red Lodge Mountain
northern-rockies,Brundage
northern-rockies,Lookout Pass
northern-rockies,Bald Mountain Ski Area
northern-rockies,Grand Targhee
northern-rockies,Schweitzer Mountain
northern-rockies,Bogus Basin
northern-rockies,Moonlight Basin Now part of Big Sky Resort 
northern-rockies,Lost Trail
northern-rockies,Silver Mountain
northern-rockies,White Pine
northern-rockies,Grand Targhee XC
northern-rockies,Whitefish Mountain Resort
northern-rockies,Sun Valley XC
northern-rockies,Snow King
northern-rockies,Huff Hills
northern-rockies,Tamarack Resort
northern-rockies,Snowhaven
northern-rockies,Hogadon
northern-rockies,Meadowlark Ski Lodge
northern-rockies,Bottineau Winter Park
northern-rockies,Teton Pass Ski Resort
northern-rockies,Magic Mountain ID
northern-rockies,Pebble Creek
northern-rockies,Pomerelle
northern-rockies,Soldier Mountain
northern-rockies,Kelly Canyon
northern-rockies,Terry Peak
northern-rockies,Izaak Walton Inn XC
northern-rockies,North Valley Trails
northern-rockies,Bohart Ranch XC
northern-rockies,Lone Mountain Ranch XC
northern-rockies,Glacier Outdoor XC
northern-rockies,Maverick
northern-rockies,Montana Snowbowl
northern-rockies,Turner Mountain
northern-rockies,Blacktail Mountain
northern-rockies,Big Sky
northern-rockies,Jackson Hole
northern-rockies,Sun Valley
pacific-northwest,Mission Ridge
pacific-northwest,Mt Ashland
pacific-northwest,The Summit at Snoqualmie
pacific-northwest,Mt Spokane
pacific-northwest,Anthony Lakes
pacific-northwest,White Pass
pacific-northwest,Mt Hood Meadows
pacific-northwest,Hoodoo
pacific-northwest,Badger Mountain
pacific-northwest,Mt Bachelor
pacific-northwest,Stevens Pass
pacific-northwest,Timberline Lodge
pacific-northwest,Ski Bluewood
pacific-northwest,Methow Valley XC
pacific-northwest,Crystal Mountain WA
pacific-northwest,Loup Loup Ski Bowl
pacific-northwest,Hurricane Ridge
pacific-northwest,Mt Baker
pacific-northwest,Cooper Spur
pacific-northwest,Stevens Pass XC
pacific-northwest,Mt Hood Skibowl
pacific-northwest,Willamette Pass
pacific-northwest,Spout Springs
pacific-northwest,Warner Canyon
pacific-northwest,49 Degrees North
mid-atlantic,Wintergreen Resort
mid-atlantic,Bryce Resort
mid-atlantic,Canaan Valley
mid-atlantic,The Omni Homestead Ski Resort
mid-atlantic,Wisp Resort
mid-atlantic,Timberline Four Seasons Resort
mid-atlantic,Snowshoe Mountain
mid-atlantic,Winterplace
mid-atlantic,Massanutten
mid-atlantic,White Grass XC
mid-atlantic,Oglebay Resort
mid-atlantic,Liberty Mountain Snowflex
southwest,Red River Ski and Snowboard Area
southwest,Ski Apache
southwest,Taos Ski Valley
southwest,Arizona Snowbowl
southwest,Angel Fire
southwest,Elk Ridge
southwest,Sipapu
southwest,Mt Lemmon Ski Valley
southwest,Flagstaff Nordic Center
southwest,Pajarito
southwest,Enchanted Forest XC
southwest,Angel Fire Nordic Center
alaska,Arctic Valley
alaska,Alyeska
eastern-canada,Bromont montagne d expériences
eastern-canada,Mont Blanc
eastern-canada,Ski Montcalm
eastern-canada,Ski Dans L Est
eastern-canada,Ski Garceau
eastern-canada,Mont Sutton
eastern-canada,Mont Orford
eastern-canada,Owl s Head
eastern-canada,Ski Saint Bruno
eastern-canada,Crabbe Mountain
eastern-canada,Massif du Sud
eastern-canada,Le Massif
eastern-canada,Stoneham Mountain Resort
eastern-canada,Station Mont Sainte Anne XC
eastern-canada,Tremblant XC
eastern-canada,Gatineau Park XC
eastern-canada,Camp Mercier XC
eastern-canada,Edelweiss Valley
eastern-canada,Mont Habitant
eastern-canada,Station Duchesnay XC
eastern-canada,Ski La Reserve
eastern-canada,Mont Ste Marie
eastern-canada,Vorlage
eastern-canada,Mont Gleason
eastern-canada,Parc National Gaspesie XC
eastern-canada,Mont Olympia
eastern-canada,Mont Avila
eastern-canada,Martock
eastern-canada,Blow Me Down XC
eastern-canada,Parc National Mont Tremblant XC
eastern-canada,Mont Rigaud
eastern-canada,Mont Gabriel
eastern-canada,Sommet Saint Sauveur
eastern-canada,Val D Irene
eastern-canada,Ski Morin Heights
eastern-canada,Parc National Mont Orford XC
eastern-canada,Mont Belu
eastern-canada,Ben Eoin
eastern-canada,Tremblant
central-canada,Ski Snow Valley
central-canada,Hockley Valley
central-canada,Loch Lomond
central-canada,Horseshoe Resort
central-canada,Holiday Mountain Manitoba
central-canada,Mount Pakenham
central-canada,Batawa Ski Hill
central-canada,Hidden Valley Highlands
central-canada,Sir Sam s
central-canada,Chicopee Tube Park
central-canada,Stony Mountain
central-canada,Laurentian Ski Hill
